Rank,Module,Class,Kind,PmdSmells,LOC,NCSS,Methods,Path
1136,openjpa-persistence,CurrentTimeExpression,class,0,60,27,3,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/CurrentTimeExpression.java
1137,openjpa-xmlstore,XMLConfiguration,class,0,74,27,3,openjpa-xmlstore/src/main/java/org/apache/openjpa/xmlstore/XMLConfiguration.java
1138,openjpa-jdbc,EmptyExpression,class,0,59,26,4,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/EmptyExpression.java
1139,openjpa-kernel,CallbackOptions,class,0,89,26,6,openjpa-kernel/src/main/java/org/apache/openjpa/conf/CallbackOptions.java
1140,openjpa-kernel,MetaDataDefaults,interface,0,149,26,0,openjpa-kernel/src/main/java/org/apache/openjpa/meta/MetaDataDefaults.java
1141,openjpa-persistence-jdbc,FetchDirection,enum,0,60,26,2,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/FetchDirection.java
1142,openjpa-persistence-jdbc,JoinSyntax,enum,0,60,26,2,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/JoinSyntax.java
1143,openjpa-persistence,ConnectionRetainMode,enum,0,61,26,2,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/ConnectionRetainMode.java
1144,openjpa-persistence,DetachStateType,enum,0,61,26,2,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/DetachStateType.java
1145,openjpa-persistence,QueryOperationType,enum,0,60,26,2,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/QueryOperationType.java
1146,openjpa-persistence,RestoreStateType,enum,0,61,26,2,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/RestoreStateType.java
1147,openjpa-slice,DistributedConfiguration,interface,0,180,26,0,openjpa-slice/src/main/java/org/apache/openjpa/slice/DistributedConfiguration.java
1148,openjpa-jdbc,FilterValue,interface,0,126,25,0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/FilterValue.java
1149,openjpa-jdbc,VersionStrategy,interface,0,95,25,0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/VersionStrategy.java
1150,openjpa-kernel,DynamicStorage,interface,0,141,25,0,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/DynamicStorage.java
1151,openjpa-kernel,XMLMetaData,interface,0,123,25,0,openjpa-kernel/src/main/java/org/apache/openjpa/meta/XMLMetaData.java
1152,openjpa-kernel,MetaDataException,class,0,59,25,5,openjpa-kernel/src/main/java/org/apache/openjpa/util/MetaDataException.java
1153,openjpa-kernel,UnsupportedException,class,0,59,25,5,openjpa-kernel/src/main/java/org/apache/openjpa/util/UnsupportedException.java
1154,openjpa-persistence,BinaryConditionalOperator,enum,0,57,25,1,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/BinaryConditionalOperator.java
1155,openjpa-persistence,WhenClause,class,0,56,25,1,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/WhenClause.java
